DATE,VIXCLS,SENT,CFNAI,FEDFUNDS,dgp_growth
2013-10-01,15.407826086956522,"-0,156",-0.01,0.09,3.475
2013-11-01,12.924000000000001,"-0,211",0.29,0.08,3.4833333333333334
2013-12-01,14.192380952380953,"-0,099",-0.15,0.09,3.4916666666666667
2014-01-01,14.24095238095238,"-0,294",-0.71,0.07,3.5
2014-02-01,15.47,"-0,255",0.43,0.07,3.4916666666666667
2014-03-01,14.836666666666666,"-0,252",0.48,0.08,3.4833333333333334
2014-04-01,14.19809523809524,"-0,266",0.03,0.09,3.475
2014-05-01,12.475238095238096,"-0,213",0.11,0.09,3.466666666666667
2014-06-01,11.541428571428572,"-0,171",0.12,0.1,3.4583333333333335
2014-07-01,12.296363636363635,"-0,042",0.28,0.09,3.45
2014-08-01,13.491904761904761,"-0,075",-0.21,0.09,3.4416666666666664
2014-09-01,13.466666666666667,"-0,016",0.02,0.09,3.433333333333333
2014-10-01,18.058695652173913,"-0,112",0.03,0.09,3.425
2014-11-01,13.413157894736841,"-0,048",0.26,0.09,3.4166666666666665
2014-12-01,16.292272727272728,"0,003",0.06,0.12,3.408333333333333
2015-01-01,19.1195,"0,132",-0.25,0.11,3.4
2015-02-01,15.90421052631579,"0,178",-0.47,0.11,3.3833333333333333
2015-03-01,14.812727272727273,"0,128",-0.01,0.11,3.3666666666666667
2015-04-01,13.494761904761905,"-0,064",-0.01,0.12,3.35
2015-05-01,13.3385,"-0,039",-0.35,0.12,3.3333333333333335
2015-06-01,14.339545454545457,"0,010",-0.13,0.13,3.316666666666667
2015-07-01,14.352272727272727,"-0,162",0.31,0.13,3.3
2015-08-01,19.42809523809524,"-0,174",-0.26,0.14,3.283333333333333
2015-09-01,24.377142857142857,"-0,270",-0.14,0.14,3.2666666666666666
2015-10-01,16.789545454545454,"-0,332",-0.25,0.12,3.25
2015-11-01,16.21,"-0,409",-0.36,0.12,3.2333333333333334
2015-12-01,18.025454545454547,"-0,380",-0.29,0.24,3.216666666666667
2016-01-01,23.717894736842105,"-0,452",0.07,0.34,3.2
2016-02-01,22.517,"-0,433",-0.22,0.38,3.25
2016-03-01,15.84909090909091,"-0,391",-0.34,0.36,3.3000000000000003
2016-04-01,14.300476190476191,"-0,393",-0.12,0.37,3.35
2016-05-01,14.852857142857141,"-0,363",-0.34,0.37,3.4
2016-06-01,17.774545454545457,"-0,300",0.12,0.38,3.45
2016-07-01,13.1585,"-0,218",0.03,0.39,3.5
2016-08-01,12.399565217391304,"-0,216",-0.18,0.4,3.55
2016-09-01,14.21952380952381,"-0,324",-0.09,0.4,3.6
2016-10-01,14.585238095238097,"-0,307",-0.06,0.4,3.65
2016-11-01,15.236190476190476,"-0,251",-0.21,0.41,3.6999999999999997
2016-12-01,12.472380952380954,"-0,266",0.39,0.54,3.75
2017-01-01,11.6085,"-0,349",-0.12,0.65,3.8
2017-02-01,11.530526315789475,"-0,311",-0.08,0.66,3.783333333333333
2017-03-01,11.89782608695652,"-0,272",0.01,0.79,3.7666666666666666
2017-04-01,13.136315789473684,"-0,354",0.31,0.9,3.75
2017-05-01,10.862272727272726,"-0,267",0.0,0.91,3.7333333333333334
2017-06-01,10.513636363636364,"-0,364",0.15,1.04,3.716666666666667
2017-07-01,10.2645,"-0,388",-0.16,1.15,3.7
2017-08-01,11.975652173913044,"-0,426",0.0,1.16,3.683333333333333
2017-09-01,10.437999999999999,"-0,242",0.18,1.15,3.6666666666666665
2017-10-01,10.125454545454545,"-0,207",0.52,1.15,3.65
2017-11-01,10.54047619047619,"-0,220",0.23,1.16,3.6333333333333333
2017-12-01,10.2645,"-0,212",0.19,1.3,3.6166666666666667
2018-01-01,11.062380952380952,"-0,133",-0.26,1.41,3.6
2018-02-01,22.464736842105264,"-0,073",0.48,1.42,3.533333333333333
2018-03-01,19.023809523809526,"-0,018",0.1,1.51,3.466666666666667
2018-04-01,18.267619047619046,"-0,279",0.36,1.69,3.4
2018-05-01,14.124545454545455,"-0,302",-0.15,1.7,3.3333333333333335
2018-06-01,13.678095238095239,"-0,296",0.21,1.82,3.2666666666666666
2018-07-01,13.147619047619049,"-0,241",0.01,1.91,3.2
2018-08-01,12.54695652173913,"-0,239",0.31,1.91,3.1333333333333333
2018-09-01,12.910526315789474,"-0,298",-0.01,1.95,3.0666666666666664
2018-10-01,19.35217391304348,"-0,326",-0.24,2.19,3.0
2018-11-01,19.38904761904762,"-0,368",-0.01,2.2,2.933333333333333
2018-12-01,24.953157894736844,"-0,414",-0.16,2.27,2.8666666666666663
2019-01-01,19.57238095238095,"-0,246",-0.29,2.4,2.8
2019-02-01,15.230526315789474,"-0,202",-0.35,2.4,2.333333333333333
2019-03-01,14.485238095238095,"-0,156",-0.09,2.41,1.8666666666666667
2019-04-01,12.949047619047619,"-0,197",-0.56,2.42,1.4
2019-05-01,16.721818181818183,"-0,125",0.03,2.39,0.9333333333333333
2019-06-01,15.836000000000002,"-0,059",0.08,2.38,0.4666666666666668
2019-07-01,13.305909090909092,"-0,059",-0.39,2.4,0.0
2019-08-01,18.97909090909091,"0,006",0.19,2.13,-0.46666666666666634
2019-09-01,15.559000000000001,"-0,011",-0.38,2.04,-0.9333333333333331
2019-10-01,15.466521739130435,"-0,160",-0.75,1.83,-1.3999999999999995
2019-11-01,12.5235,"-0,127",0.21,1.55,-1.8666666666666663
2019-12-01,13.756666666666666,"-0,135",-0.4,1.55,-2.333333333333333
2020-01-01,13.94095238095238,"0,027",-0.18,1.55,-2.8
2020-02-01,19.628947368421052,"-0,075",0.11,1.58,-2.0416666666666665
2020-03-01,57.73681818181819,"-0,172",-4.42,0.65,-1.2833333333333332
2020-04-01,41.453809523809525,"-0,177",-18.05,0.05,-0.5249999999999999
2020-05-01,30.897000000000002,"-0,171",4.69,0.05,0.2333333333333334
2020-06-01,31.119545454545456,"-0,077",6.23,0.08,0.9916666666666667
2020-07-01,26.840454545454545,"-0,027",2.49,0.09,1.75
2020-08-01,22.88952380952381,"-0,011",1.29,0.1,2.5083333333333337
2020-09-01,27.64761904761905,"-0,021",0.49,0.09,3.2666666666666666
2020-10-01,29.438636363636363,"0,103",0.87,0.09,4.0249999999999995
2020-11-01,24.9955,"0,179",0.29,0.09,4.783333333333333
2020-12-01,22.37409090909091,"0,348",0.63,0.09,5.541666666666667
2021-01-01,24.91,"0,706",0.93,0.09,6.3
2021-02-01,23.140526315789476,"1,025",-1.7,0.08,6.066666666666666
2021-03-01,21.84304347826087,"1,223",2.25,0.07,5.833333333333333
2021-04-01,17.416190476190476,"0,963",0.12,0.07,5.6
2021-05-01,19.7605,"1,113",0.24,0.06,5.366666666666666
2021-06-01,16.956818181818182,"1,222",0.28,0.08,5.133333333333333
2021-07-01,17.603333333333335,"1,406",0.75,0.1,4.9
2021-08-01,17.472727272727273,"1,658",0.17,0.09,4.666666666666667
2021-09-01,19.824761904761903,"1,735",0.02,0.08,4.433333333333334
2021-10-01,17.871428571428574,"1,721",0.79,0.08,4.2
2021-11-01,18.50047619047619,"2,018",0.75,0.08,3.966666666666667
2021-12-01,21.354545454545455,"2,278",0.21,0.08,3.7333333333333334
2022-01-01,23.181,"2,254",-0.06,0.08,3.5
2022-02-01,25.748421052631578,"2,058",0.56,0.08,3.4583333333333335
2022-03-01,26.968695652173913,"1,809",0.43,0.2,3.4166666666666665
2022-04-01,24.3735,"1,369",0.04,0.33,3.375
2022-05-01,29.313636363636363,"1,247",-0.34,0.77,3.3333333333333335
2022-06-01,28.23318181818182,"1,187",-0.26,1.21,3.2916666666666665
